[2025-05-04 18:42:48.927] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364368927
[2025-05-04 18:42:49.947] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364369946
[2025-05-04 18:42:51.019] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364371019
[2025-05-04 18:42:52.070] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364372070
[2025-05-04 18:42:53.158] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364373158
[2025-05-04 18:42:54.253] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364374253
[2025-05-04 18:42:55.357] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364375357
[2025-05-04 18:42:56.445] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364376445
[2025-05-04 18:42:57.535] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364377534
[2025-05-04 18:42:58.627] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364378627
[2025-05-04 18:42:59.725] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364379725
[2025-05-04 18:43:00.826] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364380826
[2025-05-04 18:43:01.910] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364381910
[2025-05-04 18:43:02.952] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364382952
[2025-05-04 18:43:03.994] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364383994
[2025-05-04 18:43:05.102] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364385102
[2025-05-04 18:43:06.177] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364386177
[2025-05-04 18:43:07.277] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364387277
[2025-05-04 18:43:08.395] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364388395
[2025-05-04 18:43:09.442] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364389442
[2025-05-04 18:43:10.442] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364390441
[2025-05-04 18:43:11.445] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364391445
[2025-05-04 18:43:12.518] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364392518
[2025-05-04 18:43:13.615] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364393615
[2025-05-04 18:43:14.711] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364394711
[2025-05-04 18:43:15.806] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364395806
[2025-05-04 18:43:16.894] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364396894
[2025-05-04 18:43:17.943] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364397943
[2025-05-04 18:43:18.943] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364398943
[2025-05-04 18:43:19.946] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364399946
[2025-05-04 18:43:20.961] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364400961
[2025-05-04 18:43:21.969] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364401969
[2025-05-04 18:43:23.013] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364403013
[2025-05-04 18:43:24.111] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364404111
[2025-05-04 18:43:25.209] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364405209
[2025-05-04 18:43:26.310] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364406310
[2025-05-04 18:43:27.412] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364407412
[2025-05-04 18:43:28.485] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364408485
[2025-05-04 18:43:29.509] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364409509
[2025-05-04 18:43:30.569] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364410569
[2025-05-04 18:43:31.660] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364411660
[2025-05-04 18:43:32.664] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364412664
[2025-05-04 18:43:33.742] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364413742
[2025-05-04 18:43:34.841] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364414841
[2025-05-04 18:43:35.927] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364415927
[2025-05-04 18:43:37.006] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364417006
[2025-05-04 18:43:38.413] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364418413
[2025-05-04 18:43:39.423] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364419423
[2025-05-04 18:43:40.504] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364420503
[2025-05-04 18:43:41.509] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364421509
[2025-05-04 18:43:42.606] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364422606
[2025-05-04 18:43:43.691] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364423691
[2025-05-04 18:43:44.789] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746364424789
